Pokedex Number;Pokemon Name;Classification;Alternate Form Name;Legendary Type;Pokemon Height;Pokemon Weight;Primary Type;Secondary Type;Primary Ability;Secondary Ability;Attack Stat;Defense Stat;Special Attack Stat;Special Defense Stat;Speed Stat;Base Stat Total
147;Dratini;Dragon Pokémon;NULL;NULL;18;33;Dragon;NULL;Shed Skin;NULL;64;45;50;50;50;300
148;Dragonair;Dragon Pokémon;NULL;NULL;40;165;Dragon;NULL;Shed Skin;NULL;84;65;70;70;70;420
149;Dragonite;Dragon Pokémon;NULL;NULL;22;2100;Dragon;Flying;Inner Focus;NULL;134;95;100;100;80;600
150;Mewtwo;Genetic Pokémon;NULL;"""Legendary""";20;1220;Psychic;NULL;Pressure;NULL;110;90;154;90;130;680
150;Mewtwo;Genetic Pokémon;Mega X;"""Legendary""";23;1270;Psychic;NULL;Steadfast;NULL;190;100;154;100;130;780
150;Mewtwo;Genetic Pokémon;Mega Y;"""Legendary""";15;330;Psychic;NULL;Insomnia;NULL;150;70;194;120;140;780
151;Mew;New Species Pokémon;NULL;"""Mythical""";4;40;Psychic;NULL;Synchronize;NULL;100;100;100;100;100;600
152;Chikorita;Leaf Pokémon;NULL;NULL;9;64;Grass;NULL;Overgrow;NULL;49;65;49;65;45;318
153;Bayleef;Leaf Pokémon;NULL;NULL;12;158;Grass;NULL;Overgrow;NULL;62;80;63;80;60;405
154;Meganium;Herb Pokémon;NULL;NULL;18;1005;Grass;NULL;Overgrow;NULL;82;100;83;100;80;525
155;Cyndaquil;Fire Mouse Pokémon;NULL;NULL;5;79;Fire;NULL;Blaze;NULL;52;43;60;50;65;309
156;Quilava;Volcano Pokémon;NULL;NULL;9;190;Fire;NULL;Blaze;NULL;64;58;80;65;80;405
157;Typhlosion;Volcano Pokémon;NULL;NULL;17;795;Fire;NULL;Blaze;NULL;84;78;109;85;100;534
157;Typhlosion;Ghost Flame Pokémon;Hisui;NULL;16;698;Fire;Ghost;Blaze;NULL;84;78;119;85;95;534
158;Totodile;Big Jaw Pokémon;NULL;NULL;6;95;Water;NULL;Torrent;NULL;65;64;44;48;43;314
159;Croconaw;Big Jaw Pokémon;NULL;NULL;11;250;Water;NULL;Torrent;NULL;80;80;59;63;58;405
160;Feraligatr;Big Jaw Pokémon;NULL;NULL;23;888;Water;NULL;Torrent;NULL;105;100;79;83;78;530
161;Sentret;Scout Pokémon;NULL;NULL;8;60;Normal;NULL;Run Away;Keen Eye;46;34;35;45;20;215
162;Furret;Long Body Pokémon;NULL;NULL;18;325;Normal;NULL;Run Away;Keen Eye;76;64;45;55;90;415
163;Hoothoot;Owl Pokémon;NULL;NULL;7;212;Normal;Flying;Insomnia;Keen Eye;30;30;36;56;50;262
164;Noctowl;Owl Pokémon;NULL;NULL;16;408;Normal;Flying;Insomnia;Keen Eye;50;50;86;96;70;452
165;Ledyba;Five Star Pokémon;NULL;NULL;10;108;Bug;Flying;Swarm;Early Bird;20;30;40;80;55;265
166;Ledian;Five Star Pokémon;NULL;NULL;14;356;Bug;Flying;Swarm;Early Bird;35;50;55;110;85;390
167;Spinarak;String Spit Pokémon;NULL;NULL;5;85;Bug;Poison;Swarm;Insomnia;60;40;40;40;30;250
168;Ariados;Long Leg Pokémon;NULL;NULL;11;335;Bug;Poison;Swarm;Insomnia;90;70;60;70;40;400
169;Crobat;Bat Pokémon;NULL;NULL;18;750;Poison;Flying;Inner Focus;NULL;90;80;70;80;130;535
170;Chinchou;Angler Pokémon;NULL;NULL;5;120;Water;Electric;Volt Absorb;Illuminate;38;38;56;56;67;330
171;Lanturn;Light Pokémon;NULL;NULL;12;225;Water;Electric;Volt Absorb;Illuminate;58;58;76;76;67;460
172;Pichu;Tiny Mouse Pokémon;NULL;NULL;3;20;Electric;NULL;Static;NULL;40;15;35;35;60;205
173;Cleffa;Star Shape Pokémon;NULL;NULL;3;30;Fairy;NULL;Cute Charm;Magic Bounce;25;28;45;55;15;218
174;Igglybuff;Balloon Pokémon;NULL;NULL;3;10;Normal;Fairy;Cute Charm;Competitive;30;15;40;20;15;210
175;Togepi;Spike Ball Pokémon;NULL;NULL;3;15;Fairy;NULL;Hustle;Serene Grace;20;65;40;65;20;245
176;Togetic;Happiness Pokémon;NULL;NULL;6;32;Fairy;Flying;Hustle;Serene Grace;40;85;80;105;40;405
177;Natu;Tiny Bird Pokémon;NULL;NULL;2;20;Psychic;Flying;Synchronize;Early Bird;50;45;70;45;70;320
178;Xatu;Mystic Pokémon;NULL;NULL;15;150;Psychic;Flying;Synchronize;Early Bird;75;70;95;70;95;470
179;Mareep;Wool Pokémon;NULL;NULL;6;78;Electric;NULL;Static;NULL;40;40;65;45;35;280
180;Flaaffy;Wool Pokémon;NULL;NULL;8;133;Electric;NULL;Static;NULL;55;55;80;60;45;365
181;Ampharos;Light Pokémon;NULL;NULL;14;615;Electric;NULL;Static;NULL;75;85;115;90;55;510
181;Ampharos;Light Pokémon;Mega;NULL;14;615;Electric;Dragon;Mold Breaker;NULL;95;105;165;110;45;610
182;Bellossom;Flower Pokémon;NULL;NULL;4;58;Grass;NULL;Chlorophyll;NULL;80;95;90;100;50;490
183;Marill;Aqua Mouse Pokémon;NULL;NULL;4;85;Water;Fairy;Thick Fat;Huge Power;20;50;20;50;40;250
184;Azumarill;Aqua Rabbit Pokémon;NULL;NULL;8;285;Water;Fairy;Thick Fat;Huge Power;50;80;60;80;50;420
185;Sudowoodo;Imitation Pokémon;NULL;NULL;12;380;Rock;NULL;Sturdy;Rock Head;110;115;30;65;30;420
186;Politoed;Frog Pokémon;NULL;NULL;11;339;Water;NULL;Water Absorb;Damp;75;75;90;100;70;500
187;Hoppip;Cottonweed Pokémon;NULL;NULL;4;5;Grass;Flying;Chlorophyll;Leaf Guard;35;40;35;55;50;250
188;Skiploom;Cottonweed Pokémon;NULL;NULL;6;10;Grass;Flying;Chlorophyll;Leaf Guard;45;50;45;65;80;340
189;Jumpluff;Cottonweed Pokémon;NULL;NULL;8;30;Grass;Flying;Chlorophyll;Leaf Guard;55;70;55;95;110;460
190;Aipom;Long Tail Pokémon;NULL;NULL;8;115;Normal;NULL;Run Away;Pickup;70;55;40;55;85;360
191;Sunkern;Seed Pokémon;NULL;NULL;3;18;Grass;NULL;Chlorophyll;Solar Power;30;30;30;30;30;180
192;Sunflora;Sun Pokémon;NULL;NULL;8;85;Grass;NULL;Chlorophyll;Solar Power;75;55;105;85;30;425
193;Yanma;Clear Wing Pokémon;NULL;NULL;12;380;Bug;Flying;Speed Boost;Compound Eyes;65;45;75;45;95;390
194;Wooper;Water Fish Pokémon;NULL;NULL;4;85;Water;Ground;Damp;Water Absorb;45;45;25;25;15;210
194;Wooper;Poison Fish Pokémon;Paldea;NULL;4;110;Poison;Ground;Poison Point;Water Absorb;45;45;25;25;15;210
195;Quagsire;Water Fish Pokémon;NULL;NULL;14;750;Water;Ground;Damp;Water Absorb;85;85;65;65;35;430
196;Espeon;Sun Pokémon;NULL;NULL;9;265;Psychic;NULL;Synchronize;NULL;65;60;130;95;110;525
197;Umbreon;Moonlight Pokémon;NULL;NULL;10;270;Dark;NULL;Synchronize;NULL;65;110;60;130;65;525
198;Murkrow;Darkness Pokémon;NULL;NULL;5;21;Dark;Flying;Insomnia;Super Luck;85;42;85;42;91;405
199;Slowking;Royal Pokémon;NULL;NULL;20;795;Water;Psychic;Oblivious;Own Tempo;75;80;100;110;30;490
199;Slowking;Royal Pokémon;Galar;NULL;18;795;Poison;Psychic;Curious Medicine;Own Tempo;65;80;110;110;30;490
200;Misdreavus;Screech Pokémon;NULL;NULL;7;10;Ghost;NULL;Levitate;NULL;60;60;85;85;85;435
201;Unown;Symbol Pokémon;NULL;NULL;5;50;Psychic;NULL;Levitate;NULL;72;48;72;48;48;336
202;Wobbuffet;Patient Pokémon;NULL;NULL;13;285;Psychic;NULL;Shadow Tag;NULL;33;58;33;58;33;405
203;Girafarig;Long Neck Pokémon;NULL;NULL;15;415;Normal;Psychic;Inner Focus;Early Bird;80;65;90;65;85;455
204;Pineco;Bagworm Pokémon;NULL;NULL;6;72;Bug;NULL;Sturdy;NULL;65;90;35;35;15;290
205;Forretress;Bagworm Pokémon;NULL;NULL;12;1258;Bug;Steel;Sturdy;NULL;90;140;60;60;40;465
206;Dunsparce;Land Snake Pokémon;NULL;NULL;15;140;Normal;NULL;Serene Grace;Run Away;70;70;65;65;45;415
207;Gligar;Fly Scorpion Pokémon;NULL;NULL;11;648;Ground;Flying;Hyper Cutter;Sand Veil;75;105;35;65;85;430
208;Steelix;Iron Snake Pokémon;NULL;NULL;92;4000;Steel;Ground;Rock Head;Sturdy;85;200;55;65;30;510
208;Steelix;Iron Snake Pokémon;Mega;NULL;105;7400;Steel;Ground;Sand Force;NULL;125;230;55;95;30;610
209;Snubbull;Fairy Pokémon;NULL;NULL;6;78;Fairy;NULL;Intimidate;Run Away;80;50;40;40;30;300
210;Granbull;Fairy Pokémon;NULL;NULL;14;487;Fairy;NULL;Intimidate;Quick Feet;120;75;60;60;45;450
211;Qwilfish;Balloon Pokémon;NULL;NULL;5;39;Water;Poison;Poison Point;Swift Swim;95;85;55;55;85;440
211;Qwilfish;Balloon Pokémon;Hisui;NULL;5;39;Dark;Poison;Poison Point;Swift Swim;95;85;55;55;85;440
212;Scizor;Pincer Pokémon;Mega;NULL;20;1250;Bug;Steel;Technician;NULL;150;140;65;100;75;600
212;Scizor;Pincer Pokémon;NULL;NULL;18;1180;Bug;Steel;Swarm;Technician;130;100;55;80;65;500
213;Shuckle;Mold Pokémon;NULL;NULL;6;205;Bug;Rock;Sturdy;Gluttony;10;230;10;230;5;505
214;Heracross;Single Horn Pokémon;NULL;NULL;15;540;Bug;Fighting;Swarm;Guts;125;75;40;95;85;500
214;Heracross;Abundance Pokémon;Mega;NULL;17;625;Bug;Fighting;Skill Link;NULL;185;115;40;105;75;600
215;Sneasel;Sharp Claw Pokémon;Hisui;NULL;9;270;Fighting;Poison;Inner Focus;Keen Eye;95;55;35;75;115;430
215;Sneasel;Sharp Claw Pokémon;NULL;NULL;9;280;Dark;Ice;Inner Focus;Keen Eye;95;55;35;75;115;430
216;Teddiursa;Little Bear Pokémon;NULL;NULL;6;88;Normal;NULL;Pickup;Quick Feet;80;50;50;50;40;330
217;Ursaring;Hibernator Pokémon;NULL;NULL;18;1258;Normal;NULL;Guts;Quick Feet;130;75;75;75;55;500
218;Slugma;Lava Pokémon;NULL;NULL;7;350;Fire;NULL;Magma Armor;Flame Body;40;40;70;40;20;250
219;Magcargo;Lava Pokémon;NULL;NULL;8;550;Fire;Rock;Magma Armor;Flame Body;50;120;90;80;30;430
220;Swinub;Pig Pokémon;NULL;NULL;4;65;Ice;Ground;Oblivious;Snow Cloak;50;40;30;30;50;250
221;Piloswine;Swine Pokémon;NULL;NULL;11;558;Ice;Ground;Oblivious;Snow Cloak;100;80;60;60;50;450
222;Corsola;Coral Pokémon;NULL;NULL;6;50;Water;Rock;Hustle;Natural Cure;55;95;65;95;35;410
222;Corsola;Coral Pokémon;Galar;NULL;6;5;Ghost;NULL;Weak Armor;NULL;55;100;65;100;30;410
223;Remoraid;Jet Pokémon;NULL;NULL;6;120;Water;NULL;Hustle;Sniper;65;35;65;35;65;300
224;Octillery;Jet Pokémon;NULL;NULL;9;285;Water;NULL;Suction Cups;Sniper;105;75;105;75;45;480
225;Delibird;Delivery Pokémon;NULL;NULL;9;160;Ice;Flying;Vital Spirit;NULL;55;45;65;45;75;330
226;Mantine;Kite Pokémon;NULL;NULL;21;2200;Water;Flying;Swift Swim;Water Absorb;40;70;80;140;70;485
227;Skarmory;Armor Bird Pokémon;NULL;NULL;17;505;Steel;Flying;Keen Eye;Sturdy;80;140;40;70;70;465
228;Houndour;Dark Pokémon;NULL;NULL;6;108;Dark;Fire;Early Bird;Flash Fire;60;30;80;50;65;330
229;Houndoom;Dark Pokémon;NULL;NULL;14;350;Dark;Fire;Early Bird;Flash Fire;90;50;110;80;95;500
229;Houndoom;Dark Pokémon;Mega;NULL;19;495;Dark;Fire;Solar Power;NULL;90;90;140;90;115;600
230;Kingdra;Dragon Pokémon;NULL;NULL;18;1520;Water;Dragon;Swift Swim;Sniper;95;95;95;95;85;540
231;Phanpy;Long Nose Pokémon;NULL;NULL;5;335;Ground;NULL;Pickup;NULL;60;60;40;40;40;330
232;Donphan;Armor Pokémon;NULL;NULL;11;1200;Ground;NULL;Sturdy;NULL;120;120;60;60;50;500
233;Porygon2;Virtual Pokémon;NULL;NULL;6;325;Normal;NULL;Trace;Download;80;90;105;95;60;515
234;Stantler;Big Horn Pokémon;NULL;NULL;14;712;Normal;NULL;Intimidate;Frisk;95;62;85;65;85;465
235;Smeargle;Painter Pokémon;NULL;NULL;12;580;Normal;NULL;Own Tempo;Technician;20;35;20;45;75;250
236;Tyrogue;Scuffle Pokémon;NULL;NULL;7;210;Fighting;NULL;Guts;Steadfast;35;35;35;35;35;210
237;Hitmontop;Handstand Pokémon;NULL;NULL;14;480;Fighting;NULL;Intimidate;Technician;95;95;35;110;70;455
238;Smoochum;Kiss Pokémon;NULL;NULL;4;60;Ice;Psychic;Oblivious;Forewarn;30;15;85;65;65;305
239;Elekid;Electric Pokémon;NULL;NULL;6;235;Electric;NULL;Static;NULL;63;37;65;55;95;360
240;Magby;Live Coal Pokémon;NULL;NULL;7;214;Fire;NULL;Flame Body;NULL;75;37;70;55;83;365
241;Miltank;Milk Cow Pokémon;NULL;NULL;12;755;Normal;NULL;Thick Fat;Scrappy;80;105;40;70;100;490
242;Blissey;Happiness Pokémon;NULL;NULL;15;468;Normal;NULL;Natural Cure;Serene Grace;10;10;75;135;55;540
243;Raikou;Thunder Pokémon;NULL;"""Sub-Legendary""";19;1780;Electric;NULL;Pressure;NULL;85;75;115;100;115;580
244;Entei;Volcano Pokémon;NULL;"""Sub-Legendary""";21;1980;Fire;NULL;Pressure;NULL;115;85;90;75;100;580
245;Suicune;Aurora Pokémon;NULL;"""Sub-Legendary""";20;1870;Water;NULL;Pressure;NULL;75;115;90;115;85;580
246;Larvitar;Rock Skin Pokémon;NULL;NULL;6;720;Rock;Ground;Guts;NULL;64;50;45;50;41;300
247;Pupitar;Hard Shell Pokémon;NULL;NULL;12;1520;Rock;Ground;Shed Skin;NULL;84;70;65;70;51;410
248;Tyranitar;Armor Pokémon;NULL;NULL;20;2020;Rock;Dark;Sand Stream;NULL;134;110;95;100;61;600
248;Tyranitar;Armor Bird Pokémon;Mega;NULL;25;2550;Rock;Dark;Sand Stream;NULL;164;150;95;120;71;700
249;Lugia;Diving Pokémon;NULL;"""Legendary""";52;2160;Psychic;Flying;Pressure;NULL;90;130;90;154;110;680
250;Ho-Oh;Rainbow Pokémon;NULL;"""Legendary""";38;1990;Fire;Flying;Pressure;NULL;130;90;110;154;90;680
251;Celebi;Time Travel Pokémon;NULL;"""Mythical""";6;50;Psychic;Grass;Natural Cure;NULL;100;100;100;100;100;600
252;Treecko;Wood Gecko Pokémon;NULL;NULL;5;50;Grass;NULL;Overgrow;NULL;45;35;65;55;70;310
253;Grovyle;Wood Gecko Pokémon;NULL;NULL;9;216;Grass;NULL;Overgrow;NULL;65;45;85;65;95;405
254;Sceptile;Forest Pokémon;NULL;NULL;17;522;Grass;NULL;Overgrow;NULL;85;65;105;85;120;530
254;Sceptile;Forest Pokémon;Mega;NULL;19;552;Grass;Dragon;Lightning Rod;NULL;110;75;145;85;145;630
255;Torchic;Chick Pokémon;NULL;NULL;4;25;Fire;NULL;Blaze;NULL;60;40;70;50;45;310
256;Combusken;Young Fowl Pokémon;NULL;NULL;9;195;Fire;Fighting;Blaze;NULL;85;60;85;60;55;405
257;Blaziken;Blaze Pokémon;NULL;NULL;19;520;Fire;Fighting;Blaze;NULL;120;70;110;70;80;530
257;Blaziken;Blaze Pokémon;Mega;NULL;19;520;Fire;Fighting;Speed Boost;NULL;160;80;130;80;100;630
258;Mudkip;Mud Fish Pokémon;NULL;NULL;4;76;Water;NULL;Torrent;NULL;70;50;50;50;40;310
259;Marshtomp;Mud Fish Pokémon;NULL;NULL;7;280;Water;Ground;Torrent;NULL;85;70;60;70;50;405
260;Swampert;Mud Fish Pokémon;NULL;NULL;15;819;Water;Ground;Torrent;NULL;110;90;85;90;60;535
260;Swampert;Mud Fish Pokémon;Mega;NULL;19;1020;Water;Ground;Swift Swim;NULL;150;110;95;110;70;635
261;Poochyena;Bite Pokémon;NULL;NULL;5;136;Dark;NULL;Run Away;Quick Feet;55;35;30;30;35;220
262;Mightyena;Bite Pokémon;NULL;NULL;10;370;Dark;NULL;Intimidate;Quick Feet;90;70;60;60;70;420
263;Zigzagoon;Tiny Raccoon Pokémon;NULL;NULL;4;175;Normal;NULL;Pickup;Gluttony;30;41;30;41;60;240
263;Zigzagoon;Tiny Raccoon Pokémon;Galar;NULL;4;175;Dark;Normal;Pickup;Gluttony;30;41;30;41;60;240
264;Linoone;Rushing Pokémon;Galar;NULL;5;325;Dark;Normal;Pickup;Gluttony;70;61;50;61;100;420
264;Linoone;Rushing Pokémon;NULL;NULL;5;325;Normal;NULL;Pickup;Gluttony;70;61;50;61;100;420
265;Wurmple;Worm Pokémon;NULL;NULL;3;36;Bug;NULL;Shield Dust;NULL;45;35;20;30;20;195
266;Silcoon;Cocoon Pokémon;NULL;NULL;6;100;Bug;NULL;Shed Skin;NULL;35;55;25;25;15;205
267;Beautifly;Butterfly Pokémon;NULL;NULL;10;284;Bug;Flying;Swarm;NULL;70;50;100;50;65;395
268;Cascoon;Cocoon Pokémon;NULL;NULL;7;115;Bug;NULL;Shed Skin;NULL;35;55;25;25;15;205
269;Dustox;Poison Moth Pokémon;NULL;NULL;12;316;Bug;Poison;Shield Dust;NULL;50;70;50;90;65;385
270;Lotad;Water Weed Pokémon;NULL;NULL;5;26;Water;Grass;Swift Swim;Rain Dish;30;30;40;50;30;220
271;Lombre;Jolly Pokémon;NULL;NULL;12;325;Water;Grass;Swift Swim;Rain Dish;50;50;60;70;50;340
272;Ludicolo;Carefree Pokémon;NULL;NULL;15;550;Water;Grass;Swift Swim;Rain Dish;70;70;90;100;70;480
273;Seedot;Acorn Pokémon;NULL;NULL;5;40;Grass;NULL;Chlorophyll;Early Bird;40;50;30;30;30;220
274;Nuzleaf;Wily Pokémon;NULL;NULL;10;280;Grass;Dark;Chlorophyll;Early Bird;70;40;60;40;60;340
275;Shiftry;Wicked Pokémon;NULL;NULL;13;596;Grass;Dark;Chlorophyll;Early Bird;100;60;90;60;80;480
276;Taillow;Tiny Swallow Pokémon;NULL;NULL;3;23;Normal;Flying;Guts;NULL;55;30;30;30;85;270
277;Swellow;Swallow Pokémon;NULL;NULL;7;198;Normal;Flying;Guts;NULL;85;60;75;50;125;455
278;Wingull;Seagull Pokémon;NULL;NULL;6;95;Water;Flying;Keen Eye;Hydration;30;30;55;30;85;270
279;Pelipper;Water Bird Pokémon;NULL;NULL;12;280;Water;Flying;Keen Eye;Drizzle;50;100;95;70;65;440
280;Ralts;Feeling Pokémon;NULL;NULL;4;66;Psychic;Fairy;Synchronize;Trace;25;25;45;35;40;198
281;Kirlia;Emotion Pokémon;NULL;NULL;8;202;Psychic;Fairy;Synchronize;Trace;35;35;65;55;50;278
282;Gardevoir;Embrace Pokémon;NULL;NULL;16;484;Psychic;Fairy;Synchronize;Trace;65;65;125;115;80;518
282;Gardevoir;Embrace Pokémon;Mega;NULL;16;484;Psychic;Fairy;Pixilate;NULL;85;65;165;135;100;618
283;Surskit;Pond Skater Pokémon;NULL;NULL;5;17;Bug;Water;Swift Swim;NULL;30;32;50;52;65;269
284;Masquerain;Eyeball Pokémon;NULL;NULL;8;36;Bug;Flying;Intimidate;NULL;60;62;100;82;80;454
285;Shroomish;Mushroom Pokémon;NULL;NULL;4;45;Grass;NULL;Effect Spore;Poison Heal;40;60;40;60;35;295
286;Breloom;Mushroom Pokémon;NULL;NULL;12;392;Grass;Fighting;Effect Spore;Poison Heal;130;80;60;60;70;460
287;Slakoth;Slacker Pokémon;NULL;NULL;8;240;Normal;NULL;Truant;NULL;60;60;35;35;30;280
288;Vigoroth;Wild Monkey Pokémon;NULL;NULL;14;465;Normal;NULL;Vital Spirit;NULL;80;80;55;55;90;440
289;Slaking;Lazy Pokémon;NULL;NULL;20;1305;Normal;NULL;Truant;NULL;160;100;95;65;100;670
290;Nincada;Trainee Pokémon;NULL;NULL;5;55;Bug;Ground;Compound Eyes;NULL;45;90;30;30;40;266
291;Ninjask;Ninja Pokémon;NULL;NULL;8;120;Bug;Flying;Speed Boost;NULL;90;45;50;50;160;456
292;Shedinja;Shed Pokémon;NULL;NULL;8;12;Bug;Ghost;Wonder Guard;NULL;90;45;30;30;40;236
293;Whismur;Whisper Pokémon;NULL;NULL;6;163;Normal;NULL;Soundproof;NULL;51;23;51;23;28;240
294;Loudred;Big Voice Pokémon;NULL;NULL;10;405;Normal;NULL;Soundproof;NULL;71;43;71;43;48;360
295;Exploud;Loud Noise Pokémon;NULL;NULL;15;840;Normal;NULL;Soundproof;NULL;91;63;91;73;68;490
296;Makuhita;Guts Pokémon;NULL;NULL;10;864;Fighting;NULL;Thick Fat;Guts;60;30;20;30;25;237
297;Hariyama;Arm Thrust Pokémon;NULL;NULL;23;2538;Fighting;NULL;Thick Fat;Guts;120;60;40;60;50;474
298;Azurill;Polka Dot Pokémon;NULL;NULL;2;20;Normal;Fairy;Thick Fat;Huge Power;20;40;20;40;20;190
299;Nosepass;Compass Pokémon;NULL;NULL;10;970;Rock;NULL;Sturdy;Magnet Pull;45;135;45;90;30;375
300;Skitty;Kitten Pokémon;NULL;NULL;6;110;Normal;NULL;Cute Charm;Normalize;45;45;35;35;50;260
301;Delcatty;Prim Pokémon;NULL;NULL;11;326;Normal;NULL;Cute Charm;Normalize;65;65;55;55;90;400
302;Sableye;Darkness Pokémon;NULL;NULL;5;110;Dark;Ghost;Keen Eye;Stall;75;75;65;65;50;380
302;Sableye;Darkness Pokémon;Mega;NULL;5;1610;Dark;Ghost;Magic Bounce;NULL;85;125;85;115;20;480
303;Mawile;Deceiver Pokémon;Mega;NULL;10;235;Steel;Fairy;Huge Power;NULL;105;125;55;95;50;480
303;Mawile;Deceiver Pokémon;NULL;NULL;6;115;Steel;Fairy;Hyper Cutter;Intimidate;85;85;55;55;50;380
304;Aron;Iron Armor Pokémon;NULL;NULL;4;600;Steel;Rock;Sturdy;Rock Head;70;100;40;40;30;330
305;Lairon;Iron Armor Pokémon;NULL;NULL;9;1200;Steel;Rock;Sturdy;Rock Head;90;140;50;50;40;430
306;Aggron;Iron Armor Pokémon;NULL;NULL;21;3600;Steel;Rock;Sturdy;Rock Head;110;180;60;60;50;530
306;Aggron;Iron Armor Pokémon;Mega;NULL;22;3950;Steel;NULL;Filter;NULL;140;230;60;80;50;630
307;Meditite;Meditate Pokémon;NULL;NULL;6;112;Fighting;Psychic;Pure Power;NULL;40;55;40;55;60;280
308;Medicham;Meditate Pokémon;NULL;NULL;13;315;Fighting;Psychic;Pure Power;NULL;60;75;60;75;80;410
308;Medicham;Meditate Pokémon;Mega;NULL;13;315;Fighting;Psychic;Pure Power;NULL;100;85;80;85;100;510
309;Electrike;Lightning Pokémon;NULL;NULL;6;152;Electric;NULL;Static;Lightning Rod;45;40;65;40;65;295
310;Manectric;Discharge Pokémon;NULL;NULL;15;402;Electric;NULL;Static;Lightning Rod;75;60;105;60;105;475
310;Manectric;Discharge Pokémon;Mega;NULL;18;440;Electric;NULL;Intimidate;NULL;75;80;135;80;135;575
311;Plusle;Cheering Pokémon;NULL;NULL;4;42;Electric;NULL;Plus;NULL;50;40;85;75;95;405
312;Minun;Cheering Pokémon;NULL;NULL;4;42;Electric;NULL;Minus;NULL;40;50;75;85;95;405
313;Volbeat;Firefly Pokémon;NULL;NULL;7;177;Bug;NULL;Illuminate;Swarm;73;75;47;85;85;430
314;Illumise;Firefly Pokémon;NULL;NULL;6;177;Bug;NULL;Oblivious;Tinted Lens;47;75;73;85;85;430
315;Roselia;Thorn Pokémon;NULL;NULL;3;20;Grass;Poison;Natural Cure;Poison Point;60;45;100;80;65;400
316;Gulpin;Stomach Pokémon;NULL;NULL;4;103;Poison;NULL;Liquid Ooze;Sticky Hold;43;53;43;53;40;302
317;Swalot;Poison Bag Pokémon;NULL;NULL;17;800;Poison;NULL;Liquid Ooze;Sticky Hold;73;83;73;83;55;467
318;Carvanha;Savage Pokémon;NULL;NULL;8;208;Water;Dark;Rough Skin;NULL;90;20;65;20;65;305
319;Sharpedo;Brutal Pokémon;NULL;NULL;18;888;Water;Dark;Rough Skin;NULL;120;40;95;40;95;460
319;Sharpedo;Brutal Pokémon;Mega;NULL;25;1303;Water;Dark;Strong Jaw;NULL;140;70;110;65;105;560
320;Wailmer;Ball Whale Pokémon;NULL;NULL;20;1300;Water;NULL;Water Veil;Oblivious;70;35;70;35;60;400
321;Wailord;Float Whale Pokémon;NULL;NULL;145;3980;Water;NULL;Water Veil;Oblivious;90;45;90;45;60;500
322;Numel;Numb Pokémon;NULL;NULL;7;240;Fire;Ground;Oblivious;Simple;60;40;65;45;35;305
323;Camerupt;Eruption Pokémon;NULL;NULL;19;2200;Fire;Ground;Magma Armor;Solid Rock;100;70;105;75;40;460
323;Camerupt;Eruption Pokémon;Mega;NULL;25;3205;Fire;Ground;Sheer Force;NULL;120;100;145;105;20;560
324;Torkoal;Coal Pokémon;NULL;NULL;5;804;Fire;NULL;White Smoke;Drought;85;140;85;70;20;470
325;Spoink;Bounce Pokémon;NULL;NULL;7;306;Psychic;NULL;Thick Fat;Own Tempo;25;35;70;80;60;330
326;Grumpig;Manipulate Pokémon;NULL;NULL;9;715;Psychic;NULL;Thick Fat;Own Tempo;45;65;90;110;80;470
327;Spinda;Spot Panda Pokémon;NULL;NULL;11;50;Normal;NULL;Own Tempo;Tangled Feet;60;60;60;60;60;360
328;Trapinch;Ant Pit Pokémon;NULL;NULL;7;150;Ground;NULL;Hyper Cutter;Arena Trap;100;45;45;45;10;290
329;Vibrava;Vibration Pokémon;NULL;NULL;11;153;Ground;Dragon;Levitate;NULL;70;50;50;50;70;340
330;Flygon;Mystic Pokémon;NULL;NULL;20;820;Ground;Dragon;Levitate;NULL;100;80;80;80;100;520
331;Cacnea;Cactus Pokémon;NULL;NULL;4;513;Grass;NULL;Sand Veil;NULL;85;40;85;40;35;335
332;Cacturne;Scarecrow Pokémon;NULL;NULL;13;774;Grass;Dark;Sand Veil;NULL;115;60;115;60;55;475
333;Swablu;Cotton Bird Pokémon;NULL;NULL;4;12;Normal;Flying;Natural Cure;NULL;40;60;40;75;50;310
334;Altaria;Humming Pokémon;NULL;NULL;11;206;Dragon;Flying;Natural Cure;NULL;70;90;70;105;80;490
334;Altaria;Humming Pokémon;Mega;NULL;15;206;Dragon;Fairy;Pixilate;NULL;110;110;110;105;80;590
335;Zangoose;Cat Ferret Pokémon;NULL;NULL;13;403;Normal;NULL;Immunity;NULL;115;60;60;60;90;458
336;Seviper;Fang Snake Pokémon;NULL;NULL;27;525;Poison;NULL;Shed Skin;NULL;100;60;100;60;65;458
337;Lunatone;Meteorite Pokémon;NULL;NULL;10;1680;Rock;Psychic;Levitate;NULL;55;65;95;85;70;460
338;Solrock;Meteorite Pokémon;NULL;NULL;12;1540;Rock;Psychic;Levitate;NULL;95;85;55;65;70;460
339;Barboach;Whiskers Pokémon;NULL;NULL;4;19;Water;Ground;Oblivious;Anticipation;48;43;46;41;60;288
340;Whiscash;Whiskers Pokémon;NULL;NULL;9;236;Water;Ground;Oblivious;Anticipation;78;73;76;71;60;468
341;Corphish;Ruffian Pokémon;NULL;NULL;6;115;Water;NULL;Hyper Cutter;Shell Armor;80;65;50;35;35;308
